,Age,The Word of God,The Work of Men,Other,Don't Know
0,24,0.5120024308720753,0.44333029474323915,0.025220297781829232,0.019446976602856273
0,25,0.4638260097647581,0.4629383044829117,0.043941411451398134,0.02929427430093209
0,26,0.4720115424704063,0.45721321921294994,0.042413284735880824,0.028361953580762957
0,27,0.4801970751760545,0.45148813394298815,0.040885158020363514,0.027429632860593828
0,28,0.4883826078817027,0.4457630486730264,0.039357031304846204,0.026497312140424695
0,29,0.4965681405873509,0.44003796340306467,0.037828904589328895,0.02556499142025556
0,30,0.5047536732929991,0.4343128781331029,0.036300777873811585,0.024632670700086432
0,31,0.5083660454305158,0.4282270015356085,0.036710525211670626,0.02669642782220507
0,32,0.5119784175680324,0.4221411249381141,0.03712027254952967,0.028760184944323704
0,33,0.5155907897055492,0.41605524834061974,0.03753001988738871,0.03082394206644234
0,34,0.5192031618430659,0.4099693717431254,0.03793976722524775,0.03288769918856098
0,35,0.5228155339805826,0.40388349514563104,0.0383495145631068,0.03495145631067961
0,36,0.5347214653926347,0.3928476832486963,0.03876041973129352,0.033670431627375486
0,37,0.5466273968046869,0.38181187135176153,0.03917132489948025,0.03238940694407136
0,38,0.558533328216739,0.37077605945482683,0.039582230067666965,0.03110838226076723
0,39,0.570439259628791,0.35974024755789213,0.03999313523585368,0.029827357577463104
0,40,0.5823451910408433,0.3487044356609574,0.04040404040404041,0.02854633289415898
0,41,0.5883138259628685,0.3448123811366013,0.039762884084213725,0.0271109088163165
0,42,0.5942824608848938,0.3409203266122452,0.03912172776438705,0.02567548473847402
0,43,0.600251095806919,0.3370282720878891,0.038480571444560366,0.02424006066063154
0,44,0.6062197307289443,0.33313621756353295,0.03783941512473368,0.022804636582789056
0,45,0.6121883656509696,0.32924416303917686,0.03719825880490701,0.021369212504946576
0,46,0.6139586285404619,0.3256530972723135,0.03867893924940084,0.021709334937823763
0,47,0.6157288914299542,0.32206203150545015,0.04015961969389468,0.02204945737070095
0,48,0.6174991543194466,0.3184709657385868,0.041640300138388514,0.022389579803578138
0,49,0.6192694172089389,0.3148798999717234,0.04312098058288236,0.022729702236455325
0,50,0.6210396800984312,0.31128883420486003,0.04460166102737619,0.023069824669332512
0,51,0.6188475098445108,0.3121504367332574,0.04570385134442348,0.02329820207780835
0,52,0.6166553395905903,0.3130120392616548,0.04680604166147076,0.023526579486284192
0,53,0.6144631693366698,0.3138736417900521,0.04790823197851805,0.02375495689476003
0,54,0.6122709990827493,0.31473524431844946,0.049010422295565334,0.02398333430323587
0,55,0.6100788288288288,0.31559684684684686,0.050112612612612614,0.02421171171171171
0,56,0.6058414770338618,0.3191250583535153,0.050110130170250414,0.02492333444237252
0,57,0.6016041252388948,0.3226532698601837,0.05010764772788821,0.025634957173033324
0,58,0.5973667734439277,0.32618148136685216,0.05010516528552601,0.026346579903694132
0,59,0.5931294216489607,0.3297096928735206,0.05010268284316381,0.02705820263435494
0,60,0.5888920698539937,0.33323790438018897,0.050100200400801605,0.027769825365015745
0,61,0.5872887567835364,0.33483000062305834,0.0501391482126003,0.027742094380804896
0,62,0.5856854437130792,0.3364220968659277,0.050178096024399,0.027714363396594048
0,63,0.5840821306426219,0.3380141931087971,0.0502170438361977,0.0276866324123832
0,64,0.5824788175721647,0.3396062893516665,0.05025599164799639,0.02765890142817235
0,65,0.5808755045017076,0.34119838559453586,0.050294939459795095,0.027631170443961503
0,66,0.5902780282466843,0.33059956781896066,0.05134255878307726,0.027779845151277835
0,67,0.599680551991661,0.32000075004338546,0.052390178106359424,0.027928519858594167
0,68,0.6090830757366377,0.30940193226781026,0.05343779742964159,0.028077194565910502
0,69,0.6184855994816143,0.29880311449223507,0.05448541675292375,0.028225869273226838
0,70,0.627888123226591,0.2882042967166599,0.05553303607620592,0.02837454398054317
0,71,0.6336091998799741,0.2810829178928085,0.05611474054927642,0.02919314167794103
0,72,0.6393302765333572,0.27396153906895704,0.05669644502234693,0.030011739375338888
0,73,0.6450513531867402,0.26684016024510554,0.05727814949541743,0.030830337072736747
0,74,0.6507724298401234,0.25971878142125404,0.05785985396848793,0.031648934770134605
0,75,0.6564935064935065,0.2525974025974026,0.05844155844155844,0.032467532467532464
0,76,0.6579664985393713,0.24942417313099705,0.058210702524097636,0.034398625805533975
0,77,0.6594394905852361,0.2462509436645915,0.05797984660663683,0.036329719143535485
0,78,0.6609124826311009,0.24307771419818597,0.05774899068917603,0.038260812481536996
0,79,0.6623854746769657,0.23990448473178044,0.057518134771715225,0.040191905819538506
0,80,0.6638584667228307,0.2367312552653749,0.05728727885425442,0.04212299915754002
0,81,0.6634767104851828,0.2362403501242496,0.056521646982774607,0.04376129240779302
0,82,0.6630949542475348,0.2357494449831243,0.05575601511129479,0.04539958565804603
0,83,0.6627131980098869,0.23525853984199901,0.05499038323981498,0.04703787890829903
0,84,0.662331441772239,0.23476763470087372,0.05422475136833516,0.048676172158552036
0,85,0.6619496855345912,0.23427672955974843,0.05345911949685535,0.050314465408805034
0,86,0.660719168717528,0.23162428219852338,0.05870932458299152,0.04894722450095707
0,87,0.6594886519004648,0.22897183483729833,0.0639595296691277,0.04757998359310911
0,88,0.6582581350834017,0.22631938747607327,0.06920973475526387,0.04621274268526115
0,89,0.6570276182663386,0.22366694011484822,0.07445993984140005,0.044845501777413185
0,90,0.6557971014492754,0.2210144927536232,0.07971014492753623,0.043478260869565216
